shape,dtype,itemsize,n
1 12 54310 64,torch.float32,4,74
54310 1 768,torch.float32,4,1
2304 768,torch.float32,4,36
2304,torch.float32,4,36
768 768,torch.float32,4,36
768,torch.float32,4,216
3072 768,torch.float32,4,36
3072,torch.float32,4,36
768 3072,torch.float32,4,36
1636 768,torch.float32,4,6
1636,torch.float32,4,3
1600 32,torch.float32,4,4
8,torch.int32,4,1
54310 8,torch.int64,8,1
55309 32,torch.float32,4,2
8,torch.bool,1,1
