100,10,946515968,977272832
100,20,1252642304,1361051648
100,30,1570606592,1696595968
100,40,1873104896,2027945984
100,50,2170630144,2355101696
200,10,1258275328,1356857344
200,20,1874568192,2030043136
200,30,2472708096,2661285888
200,40,3082708992,3307208704
200,50,3698496000,3974103040
300,10,1567592448,1719664640
300,20,2501033472,2705326080
300,30,3399167488,3705667584
300,40,4319663104,4636803072
300,50,5241301504,5521801216
400,10,1876693504,2030043136
400,20,3097725952,3359637504
400,30,4322101760,4636803072
400,40,5543997952,5819596800
400,50,6765424640,7195328512
500,10,2181787136,2371878912
500,20,3707596288,3976200192
500,30,5245377536,5521801216
500,40,6767801856,7195328512
500,50,8322364928,8740929536
600,10,2500680704,2730491904
600,20,4324743680,4636803072
600,30,6176451584,6530531328
600,40,8008164864,8422162432
600,50,9851863552,10362028032
700,10,2786384896,3003121664
700,20,4932316672,5213519872
700,30,7073832960,7556038656
700,40,9222702592,9711910912
700,50,11375413760,11861491712
800,10,3104164864,3317694464
800,20,5556496896,5819596800
800,30,8007353856,8422162432
800,40,10470196736,11075059712
800,50,12927894016,13788774400
900,10,3407277568,3665821696
900,20,6186513920,6530531328
900,30,8936071168,9441378304
900,40,11689767424,12220104704
900,50,14468849664,15183380480
1000,10,3704094720,4018143232
1000,20,6798134272,7197425664
1000,30,9856281088,10364125184
1000,40,12928629760,13788774400
1000,50,15997140480,16884170752
1000,5,2184151040,2376073216
1000,10,3704094720,4018143232
1000,15,5244708864,5521801216
2000,5,3709594624,3992977408
2000,10,6795849216,7216300032
2000,15,9860072448,10429136896
3000,5,5252379648,5561647104
3000,10,9863365632,10206838784
3000,15,14475589120,15225323520
4000,5,6803229184,7270825984
4000,10,12942157312,13568573440
4000,15,18971310592,19750977536
5000,5,8335537152,8839495680
5000,10,16015414784,16944988160
5000,15,23589018624,25138561024
